State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Max AQI,Median AQI,Pct_Good,Pct_Unhealthy
Colorado,Fremont,2025,148,142,6,0,0,56,22,0.9594594594594594,0.0
Colorado,Garfield,2025,174,160,14,0,0,71,42,0.9195402298850575,0.0
Colorado,Gilpin,2025,181,122,58,1,0,101,48,0.6740331491712708,0.0055248618784530384
Colorado,Gunnison,2025,120,74,45,1,0,115,49,0.6166666666666667,0.008333333333333333
Colorado,Jefferson,2025,181,98,79,4,0,115,49,0.5414364640883977,0.022099447513812154
Colorado,La Plata,2025,120,92,28,0,0,77,46,0.7666666666666667,0.0
Colorado,Larimer,2025,182,84,90,8,0,119,51,0.46153846153846156,0.04395604395604396
Colorado,Mesa,2025,181,117,64,0,0,90,47,0.6464088397790055,0.0
Colorado,Montezuma,2025,181,129,52,0,0,90,46,0.712707182320442,0.0
Colorado,Pitkin,2025,151,147,4,0,0,57,16,0.9735099337748344,0.0
Colorado,Prowers,2025,151,143,6,0,0,652,23,0.9470198675496688,0.0
Colorado,Pueblo,2025,177,124,52,1,0,101,46,0.7005649717514124,0.005649717514124294
Colorado,Routt,2025,151,147,4,0,0,54,22,0.9735099337748344,0.0
Colorado,San Miguel,2025,151,147,4,0,0,59,17,0.9735099337748344,0.0
Colorado,Weld,2025,182,103,75,4,0,108,48,0.5659340659340659,0.02197802197802198
Connecticut,Fairfield,2025,90,68,22,0,0,67,42,0.7555555555555555,0.0
Connecticut,Hartford,2025,90,66,24,0,0,71,42,0.7333333333333333,0.0
Connecticut,Litchfield,2025,91,87,4,0,0,56,39,0.9560439560439561,0.0
Connecticut,Middlesex,2025,31,30,1,0,0,54,42,0.967741935483871,0.0
Connecticut,New Haven,2025,91,68,23,0,0,71,40,0.7472527472527473,0.0
Connecticut,New London,2025,90,78,12,0,0,64,35,0.8666666666666667,0.0
Connecticut,Tolland,2025,30,29,1,0,0,54,44,0.9666666666666667,0.0
Connecticut,Windham,2025,119,112,7,0,0,84,37,0.9411764705882353,0.0
Country Of Mexico,Sonora,2025,181,66,109,4,2,191,54,0.36464088397790057,0.03314917127071823
Delaware,Kent,2025,90,68,22,0,0,69,41,0.7555555555555555,0.0
Delaware,New Castle,2025,90,49,41,0,0,82,46,0.5444444444444444,0.0
Delaware,Sussex,2025,90,75,15,0,0,63,39,0.8333333333333334,0.0
District Of Columbia,District Of Columbia,2025,151,120,31,0,0,93,44,0.7947019867549668,0.0
Florida,Alachua,2025,90,83,7,0,0,64,39,0.9222222222222223,0.0
Florida,Baker,2025,90,62,28,0,0,65,44,0.6888888888888889,0.0
Florida,Bay,2025,90,59,31,0,0,70,42,0.6555555555555556,0.0
Florida,Brevard,2025,90,79,11,0,0,80,41,0.8777777777777778,0.0
