place_fips,place_name,state,pop_2010,asthma_prev,copd_prev,chd_prev,stroke_prev,smoking_prev,diabetes_prev,inactivity_prev,phlth_prev,mhlth_prev,year
0664000,Sacramento,CA,,9.8,6.1,5.8,3.2,15.5,11.0,23.2,13.0,12.9,2018
3755000,Raleigh,NC,,8.4,5.2,5.3,2.9,15.1,9.4,18.8,9.9,11.6,2018
0672016,Simi Valley,CA,,8.3,4.8,4.7,2.3,12.8,7.8,17.3,9.8,10.8,2018
4740000,Knoxville,TN,,10.8,9.0,6.9,3.7,24.5,11.5,27.7,15.9,15.8,2018
4965330,St. George,UT,,8.8,5.2,5.5,2.8,10.3,8.5,17.5,11.2,12.2,2018
0649670,Mountain View,CA,,7.4,3.5,4.1,1.9,8.9,7.5,16.0,8.0,8.5,2018
0820000,Denver,CO,,8.8,4.6,4.9,2.7,16.8,6.9,16.0,10.8,11.1,2018
5335415,Kent,WA,,9.9,6.3,6.0,3.2,15.5,10.0,19.6,12.5,12.7,2018
1912000,Cedar Rapids,IA,,8.0,5.3,5.6,2.7,16.8,8.3,22.1,9.9,11.1,2018
0636546,Inglewood,CA,,9.8,6.0,5.7,4.0,15.0,13.5,25.0,14.5,13.6,2018
1207875,Boynton Beach,FL,,8.2,7.4,6.4,3.4,18.7,11.0,30.6,13.9,13.5,2018
2634000,Grand Rapids,MI,,11.0,8.0,6.6,3.5,20.9,10.9,25.0,14.4,13.8,2018
0659451,Rancho Cucamonga,CA,,8.6,4.7,4.8,2.4,12.3,8.8,17.5,10.2,10.9,2018
3502000,Albuquerque,NM,,10.3,5.4,5.6,2.9,15.9,9.3,18.8,12.9,12.5,2018
4023200,Edmond,OK,,9.1,5.2,5.3,2.4,14.2,7.5,21.0,10.1,11.4,2018
3350260,Nashua,NH,,10.4,6.3,5.5,2.5,18.2,8.5,22.5,11.6,12.1,2018
4052500,Norman,OK,,9.6,6.5,6.2,2.9,16.8,9.5,25.4,12.7,14.0,2018
3006550,Billings,MT,,9.1,5.9,5.6,2.8,19.2,8.2,20.8,11.4,11.8,2018
1822000,Evansville,IN,,11.3,8.7,7.4,3.7,26.0,11.3,30.9,14.9,15.3,2018
2970000,Springfield,MO,,9.9,8.7,6.9,3.6,25.8,10.6,28.2,15.7,15.5,2018
4870808,Sugar Land,TX,,7.0,3.5,4.3,1.9,11.5,8.7,19.2,7.7,8.4,2018
